NAME,HETNAME,SELECTED,RA,DEC,DDIST,DISTERR,MBH,DMBH,UPPERLIMIT,SIG,DSIG,LK,DLK,R50,DR50,LKOR,DLKOR,C28,DC28,LAGN,DLAGN,CR50LK,CR50C28,CLKC28,CLKORC28,TYPE,REF,HETMGSSIG,HETMGSDSIG,Z,DZ,SCALE
NGC1407,NGC1407,1,55.04959869,-18.58037949,28.04999924,3.367000103,9.652999878,0.079000004,0,2.451800108,0.0222,11.72316742,0.118665002,0.972934484,0.109921403,10.75023174,0.076771103,5.423727036,0.477877706,-9.793697357,1.05E-05,0.0101351,0.0420136,0.017690999,-0.0243227,star,rusli13,-1234,-1234,0.00593,0.00003,0.123
NGC1550,NGC1551,1,64.90800476,2.409883022,51.56999969,5.603000164,9.56799984,0.067000002,0,2.480000019,0.021199999,11.31958008,0.096509598,0.661172926,0.082997903,10.65841103,0.047621101,5.770559788,0.391279399,-9.266841888,1.05E-05,0.0069675,0.0193354,0.0136454,-0.00569,star,rusli13,334.5,9.899999619,0.0124,0.00006,0.255
NGC2273,NGC2273,1,102.5360947,60.8456955,29.5,1.902999997,6.934999943,0.035999998,0,2.160000086,0.050099999,10.98016453,0.073713303,0.6034832,0.089733802,10.37667942,0.049399,5.8139081,0.479293615,0.447810203,9.275406837,0.0055228,0.030306,0.016779199,-0.0135267,maser,kuo11,112.5,6.599999905,0.00614,0.00001,0.127
NGC2549,NGC2549,1,124.7431107,57.80310822,12.69999981,1.64199996,7.160999775,0.367000014,0,2.15199995,0.021199999,10.2857542,0.100285001,0.046309099,0.053398799,10.23944569,0.053410701,5.352852821,0.235755995,-10.48405361,1.25E-05,0.0050279,0.0016567,0.001241,-0.0004157,star,krajnovic09,147.5,3.799999952,0.00351,0.00002,0.073
NGC2787,NGC2787,1,139.82724,69.20339966,7.449999809,1.241000056,7.610000134,0.088,0,2.276000023,0.0207,10.21001434,0.126496106,-0.016518399,0.073812902,10.22653198,0.064621396,4.937914848,0.298095703,-10.9538126,5.80E-06,0.0086368,0.0103263,0.0069206,-0.0034057,gas,sarzi01,205,6.300000191,0.00232,0.00003,0.048
NGC2960,NGC2960,1,145.1515656,3.576934099,67.09999847,7.119999886,7.032999992,0.048999999,0,2.178999901,0.023499999,11.14211082,0.089421898,0.730169415,0.079154499,10.41193771,0.082638003,5.68740797,0.340846896,10.02066994,0.106795497,0.0037163,0.0070021,0.0045639,-0.0024381,maser,"kuo11,vdb15",155.1999969,4.199999809,0.0165,0.00002,0.338
NGC3031,NGC3031,1,148.8880463,69.06543732,3.604000092,0.133000001,7.813000202,0.128999993,0,2.154799938,0.021299999,10.92515659,0.080263197,0.44194299,0.109628402,10.48321819,0.0402354,4.973245621,0.30849421,-11.5807972,1.25E-05,0.0084208,0.030135799,0.0199956,-0.0101402,gas,devereux03,-1234,-1234,-0.00013,0.00001,-0.003
NGC3091,NGC3091,1,150.0588531,-19.63647652,51.25,8.295999527,9.555999756,0.071999997,0,2.486599922,0.021199999,11.61523151,0.115754098,0.88528353,0.088327803,10.72994709,0.065694302,5.704044819,0.363184899,-9.264359474,8.60E-06,0.0084425,0.024232101,0.016066501,-0.0081656,star,rusli13,-1234,-1234,0.01322,0.00003,0.272
NGC3115,NGC3115,1,151.3082428,-7.718579769,9.539999962,0.395999998,8.953000069,0.094999999,0,2.361200094,0.0208,10.98362064,0.044663802,0.422392786,0.064294197,10.5612278,0.034374502,5.439749718,0.250559688,-10.73150349,2.90E-06,0.0024735,0.0102,0.0052027,-0.0049973,star,emsellem99,286.2000122,2.400000095,0.00221,0.00001,0.046
NGC3227,NGC3227,1,155.877533,19.86495018,23.75,2.630000114,7.322000027,0.231999993,0,2.122100115,0.039299998,11.21019363,0.130261406,1.029666185,0.138138905,10.18052959,0.064022303,4.881980419,0.422724187,9.509814262,0.1229605,0.015975799,0.041848999,0.0300589,-0.01179,star,davies06,141.8000031,11,0.00376,0.00001,0.078
